tid,transaction_date,order_count,total_cost,sid,pid,c1,c2
37,20220312,16,20792,8,3,5C687146-2C25-430B-8429-DDE03E7C5D1B,2A9F3F0A-571D-4CDF-8B89-B7ACC2EF1061
38,20211009,32,12031,9,2,13447345-7434-4BD8-A1F3-D94BD938029A,A5D75245-368C-4C36-9A93-2A1502FD2FF0
39,20210816,40,23648,10,1,C5FBCB6A-BFF3-4C75-9F9E-16B28DA9EBE2,4478A52D-9F49-40C5-B443-7741553E4664
40,20210621,51,21154,1,10,8CA9605F-21C1-45AA-B26C-3A32888235F6,49A1A1F3-4DEB-4A9B-9209-E88A1B541F8F
41,20210621,41,36588,2,9,FE963EFE-7A12-43F2-8188-C63F313BA533,BE1E80FE-F22E-4817-8F7C-0A676D20160C
42,20210704,66,23728,3,8,271C1254-FED3-44DF-A815-F9A4523481DD,4F959C07-F71E-40A6-91D2-97C199C01B6B
43,20210914,73,5234,4,7,3AAAE9AF-2039-4F7C-B1F6-F6207E2C798F,7A8E7C6D-81CA-44E5-853A-D602F31218F4
44,20220112,70,10815,5,6,98D7F0A0-CC51-41FE-A618-76F2AEE31397,92478563-0AEF-4866-AA5F-AD6524C23E67
45,20220201,27,15158,6,5,FAC3E80A-730C-470D-9FAE-C0C88588D4CF,D33DF632-1179-454A-ADE5-541E6114BE9E
46,20210816,16,37044,7,4,530348BB-1CA9-416E-B623-FC188B5B93D9,59EB01F5-FD9C-457E-A0A3-4E79F29D9EFA
47,20211016,41,44171,8,3,A743E154-4A70-46C4-A535-680B0357969D,7C3FF1AB-E3FF-402E-8C2C-341DF7F4E894
48,20220131,61,8664,9,2,C53F3FD9-E8F2-4070-9FA2-5DFF21812034,6CF851B4-DF9F-4517-89BF-F767628B0A12
49,20210610,11,35836,10,1,80F07EF6-72A7-4FC2-B5D1-9E5BC2A39125,BA57F10C-98E8-4DE0-BE9F-7A8B5D2922AE
50,20211201,51,6429,1,10,471834EC-DE1A-4498-89BC-EE6D5639358D,C56FC850-3654-42BF-9C83-08FBF94C8CC4
51,20211028,12,14066,2,9,9E1EAF57-235F-441B-BD2C-8C952D65B3CF,786F6FFE-6AF9-4D0F-8D8A-9A0DA9107EB2
52,20211210,72,13130,3,8,2E6D7C8D-4086-4BD0-A61B-24107D6FFC7A,FFCB54E9-9A34-45E4-B261-2D7602C4AC17
53,20210712,17,22452,4,7,6F79A224-20AD-4129-91C0-F1C1D5B4F7FA,553FBA74-9658-404D-91F7-F4D8B2A86679
54,20210901,23,47350,5,6,4E796BAB-EB9C-40DC-A6FC-2460FFC7C26B,D5D059BA-CC38-489C-8DF8-7138320D5E9D
55,20220224,13,491,6,5,AA785409-C115-4ABF-B486-73A4B954A80C,F9886BFA-1BDB-4BC4-A13F-25BA0590E028
56,20210720,34,23414,7,4,EB6684EB-B5D3-4035-9B8B-66DD41C62FEF,9BD8BC7A-9210-4857-805D-CFFBFF84DB59
57,20220223,41,28559,8,3,C588EA3C-582E-483E-99DA-B27B4D658800,48D819D0-8CCD-4EB2-ACEB-0082CAE376D0
58,20211230,49,42810,9,2,5CE6CFF8-4CF2-4D50-8F80-E9764DD872D7,D89935F3-C702-44E3-84C6-A3E3CD039972
59,20211026,74,25221,10,1,0598D13B-5D5E-48CA-AC40-AE92F3374D56,0D3D747C-CE6D-400B-A82E-EE755D6F4388
60,20210614,3,8235,1,10,89E1A166-F595-4363-B165-535DC94F5963,772FD69C-1906-4406-95AF-F84FAC0E94E2
61,20210828,58,5764,2,9,95CFB8C0-AE92-488B-9868-1A8C868060C3,4F9C5B76-8ED8-4B78-988D-1A966AB91D45
62,20211026,25,49583,3,8,9898EFB3-9458-40C2-9312-B14CCA2D81A8,EF065E66-5FE5-44B7-994C-5B9DBAC0A3B7
63,20220325,0,16067,4,7,68CF8F14-8387-4406-BF0E-83C37066B598,2D3D451B-CC16-4F1E-A79C-3DD77C4A9923
64,20211114,66,24358,5,6,385DBBAD-1858-4312-B834-FBC420D972F7,965B4E57-2D9A-43E7-A8E0-BEC7AE7E5988
65,20211027,30,3984,6,5,2668735E-DB55-4FE9-8749-3D40CA987FA9,8FE9015A-F020-41F3-AED5-3864CC28CC34
66,20220206,53,43469,7,4,4ACF5FF9-5E85-4D77-9CB8-C254A7ABF5D5,ABF596F0-11EF-4DD7-9AD3-560F8628C549
67,20210821,55,26174,8,3,47D7993F-E29B-437A-9344-F6A1980DAF15,E13D03A8-AF99-4FE7-A0D3-4EE63E9EF369
68,20210727,66,7457,9,2,420B1202-7C99-4B16-8CBC-C5E945C3398F,6D56B772-59BE-4169-9AEC-A10BA4C8BEB4
69,20211209,26,40217,10,1,497B36CC-DD6A-43BA-8338-8790DF5D55D7,46CDC734-A401-45CB-B8A8-AAD6D965854A
70,20211126,0,48265,1,10,D01E6533-6C1F-4436-B05A-1901C4F54366,EC1ACE7D-347C-4792-80DE-D94F988F8CAD
71,20220312,43,16660,2,9,6092C591-E898-4EFC-9291-0ECCC7F0EE62,80AAA9AB-9F1E-42E2-9ADB-7D7D74884803
72,20220205,36,27236,3,8,5676B1E0-CFB4-4F3C-9463-A81934D7AA71,6C868BC4-2DA6-4B56-A342-64CD8BC6C632
73,20220301,55,17044,4,7,592EAFB4-11C8-4F5C-B008-517CB4061E1A,FAC17FF6-42B4-4F63-A10C-F0EF9D4E8607
74,20210718,61,19113,5,6,26471C3D-4562-4CEE-8B6B-D427A2945396,BE26D2BA-B051-4876-870B-0D00A1B4D794
75,20210625,66,39743,6,5,54752887-84AE-4EA4-9735-B8B3685B5E28,3E8E0EE7-5943-4006-BF1B-09E83DD88E66
76,20220320,68,33590,7,4,4E0A274F-B198-4996-AFDC-8C9844C9BD1C,B3436291-C5A9-4BEC-AE97-F8E635C07A4F
77,20220311,7,1786,8,3,19812BC0-5CA9-407D-B50E-DCD4F98E2F0F,9161FD05-F83D-4DB0-BD5D-1D67AD3D7002
78,20211002,58,34092,9,2,F2F2D2DD-BBA6-47A7-B333-01AA1C4CB14E,FEF84C07-D433-431F-B582-869E19536223
79,20211113,60,23820,10,1,46251750-15F8-426B-93C6-9064D27649B6,941C827D-0AA9-4E4E-8062-B652C4E8BDBA
80,20220320,31,49775,1,10,D63DEE06-BD2A-4A88-B617-0A3E135F3C53,E81048FC-FA74-4C1F-B9EE-5A252D3AF83D
81,20210803,53,25614,2,9,09B12328-C331-45B3-9D0B-49781CCD91DA,DA626FA8-BF5B-41D9-A1A2-A5A91825C7C9
82,20220122,9,27342,3,8,E41F21D9-88E8-4DC6-8EDD-04814BBE863B,77411892-EFCD-46FA-8600-BD80C35B5855
83,20211117,15,16560,4,7,8701DDEA-73FA-414E-9523-37606057054E,1747AAAB-1DE8-4E6F-88DE-CB154792A4B5
84,20210820,22,3250,5,6,1CFFE8E3-5D01-4242-9B9A-181D9D968C40,B9CD9D56-3A91-4648-8FD8-67C558E28AAD
85,20220214,67,21400,6,5,2341AF83-461F-46EE-BF7D-3562574BE2EE,26AB7E23-C1DF-486F-B69A-AA925A232AD9
86,20210802,5,27868,7,4,0F296EFB-558C-47EB-B48D-6897A849DF74,31A81A58-631B-4ACC-82B7-A6211C5A30B3
87,20210613,5,45020,8,3,91EBE3C3-E5BA-42B2-97B2-D8F7F5BC58C2,16955886-9D72-4363-9F02-A5EDE9D5B636
88,20220111,36,47981,9,2,B29B747A-9D45-4BE8-A760-0ACA9CDAC915,49CDA126-4F1C-400D-900C-ECFDD5B22342
89,20211204,26,11356,10,1,E250A5C0-C9AD-49D6-A902-A7A6150A2167,80FFDF84-FC8C-4C88-8D06-DF580A6C66F3
90,20220129,14,28819,1,10,77C1A8A3-0790-476C-BFCA-35A8CB905E43,9C47CAF3-2439-4F93-BF62-70BA8F6D6E5C
91,20220107,66,41731,2,9,45D12BED-F138-4605-8C41-1746ACFCEA79,71E97FC1-B64F-4BB6-9A5A-A7F4A346B09E
92,20211210,56,30822,3,8,9A7C7E9B-B8F1-40BD-AF59-AAADF78DFF20,CDF7CDC6-E4D8-4750-9647-D730A32BA514
93,20211224,65,40832,4,7,892BE34D-1EA0-4B1E-83A4-28420648D283,52A70B91-5728-4317-93BA-7793B96A6132
94,20210615,43,8988,5,6,50A3D605-6A53-4660-ADB1-BAC5E643D514,697A9EEE-196E-457F-B458-D88C15CC9B03
95,20220105,46,31641,6,5,37207BD6-F210-42CC-937D-D5B7622B53F6,02FADC4F-5E75-4139-9457-6E48278CB1E0
96,20210622,52,47928,7,4,9047A3F4-98CB-413E-BA1C-FDDFFD2863AC,68510BE4-7D20-442C-B594-55053FC5A943
97,20220112,59,26437,8,3,6BF0D999-77FE-460F-947D-9EB96DF0A12B,42139DFA-47E9-4460-935C-0108FB7D51E4
98,20211223,48,28223,9,2,6336A946-C842-4B9E-8AA2-FA64569577DE,F57381D2-E880-48ED-A936-AAEB60910838
99,20211201,58,43334,10,1,C3791B52-D9B1-4811-AA75-7A5D1BE7FF74,4DEB73B0-A29B-406E-A485-212AE3B88D83
100,20210804,28,8516,1,10,311CF03C-68AC-4566-8C60-77F74A4FFADB,91BF92B7-AC8D-4671-8852-F54A250D2E4D
